YEARMODA,TEMP,MAX,MIN,DIFF,TempCelsius,TempKelvins
20160601,66,74,55,19,19,292
20160602,66,81,55,26,19,292
20160603,68,,56,,20,293
20160604,58,71,47,24,14,287
20160605,51,58,43,15,11,284
20160606,52,60,43,17,11,284
20160607,57,65,46,19,14,287
20160608,54,,48,,12,285
20160609,49,54,46,8,10,283
20160610,50,56,43,13,10,283
20160611,54,62,42,20,12,285
20160612,55,64,46,18,13,286
20160613,58,68,47,21,15,288
20160614,60,68,48,20,15,289
20160615,63,70,49,21,17,291
20160616,58,68,56,12,14,287
20160617,60,71,56,15,16,289
20160618,57,,54,,14,287
20160619,56,59,54,5,13,287
20160620,59,69,52,17,15,288
20160621,63,71,50,21,17,290
20160622,62,70,55,15,17,290
20160623,61,67,55,12,16,289
20160624,61,69,57,12,16,289
20160625,66,75,58,18,19,292
20160626,70,78,60,17,21,294
20160627,61,70,,,16,289
20160628,65,73,56,17,19,292
20160629,66,73,,,19,292
20160630,66,73,59,14,19,292
